City,Date,PM2.5,PM10,NO2,CO,SO2,O3,AQI,AQI_Bucket
Ahmedabad,2019-05-15,37.55,122.41,85.12,15.08,163.01,48.23,281.0,Poor
Ahmedabad,2019-05-16,33.97,116.32,79.71,14.67,91.26,51.86,330.0,Very Poor
Ahmedabad,2019-05-17,35.48,130.07,77.61,18.02,98.35,38.99,356.0,Very Poor
Ahmedabad,2019-05-18,34.11,138.31,75.23,13.27,88.66,42.22,359.0,Very Poor
Ahmedabad,2019-05-19,33.69,111.73,68.9,34.56,80.9,36.95,547.0,Severe
Ahmedabad,2019-05-20,42.31,118.65,81.84,17.47,89.57,46.68,813.0,Severe
Ahmedabad,2019-05-21,24.6,103.88,81.24,11.03,80.74,46.65,321.0,Very Poor
Ahmedabad,2019-05-22,27.93,103.3,76.75,11.44,86.48,54.34,270.0,Poor
Ahmedabad,2019-05-23,41.39,135.65,89.1,14.29,105.96,49.7,323.0,Very Poor
Ahmedabad,2019-05-24,46.79,148.0,93.27,14.31,131.04,56.31,344.0,Very Poor
Ahmedabad,2019-05-25,51.63,156.97,89.18,17.96,134.22,49.62,404.0,Severe
Ahmedabad,2019-05-26,63.15,177.87,100.08,28.03,122.43,50.32,558.0,Severe
Ahmedabad,2019-05-27,57.47,163.36,112.68,21.39,143.3,52.19,435.0,Severe
Ahmedabad,2019-05-28,50.27,156.63,103.05,21.02,118.55,49.86,440.0,Severe
Ahmedabad,2019-05-29,42.02,140.66,71.51,16.43,82.75,52.44,374.0,Very Poor
Ahmedabad,2019-05-30,48.74,153.69,91.02,19.89,138.12,52.86,515.0,Severe
Ahmedabad,2019-05-31,46.51,136.34,85.37,16.75,145.55,44.53,360.0,Very Poor
Ahmedabad,2019-06-01,48.1,142.06,70.71,23.83,142.52,40.22,467.0,Severe
Ahmedabad,2019-06-02,41.38,119.91,70.35,21.8,134.76,41.5,402.0,Severe
Ahmedabad,2019-06-03,46.46,134.2,74.31,22.33,137.83,47.63,419.0,Severe
Ahmedabad,2019-06-04,39.68,117.51,77.12,20.89,139.31,71.62,408.0,Severe
Ahmedabad,2019-06-05,38.27,113.84,61.74,18.87,112.15,82.73,402.0,Severe
Ahmedabad,2019-06-06,35.06,127.56,68.94,12.63,101.14,75.71,303.0,Very Poor
Ahmedabad,2019-06-07,30.07,124.01,122.88,15.49,31.67,70.29,354.0,Very Poor
Ahmedabad,2019-06-08,48.74,135.9,154.42,16.38,58.6,73.95,358.0,Very Poor
Ahmedabad,2019-06-09,35.3,120.77,146.65,15.2,127.62,81.55,324.0,Very Poor
Ahmedabad,2019-06-10,34.31,115.46,127.02,16.31,121.46,80.39,360.0,Very Poor
